epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8196,0.99806,2.00289,1.19667,0.7892,0.86372,0.88344,0.63848,0.96128,1.57738,1.04494,0.000408951,0.000408951,0.000408951
2,33.184,0.95095,1.06519,1.15234,0.64293,0.71273,0.66158,0.47629,1.28157,1.872,1.54499,0.000817444,0.000817444,0.000817444
3,47.8884,0.97302,1.01855,1.1527,0.524,0.64115,0.59087,0.40004,1.29606,2.26823,1.42566,0.00121769,0.00121769,0.00121769
4,62.7788,0.9847,1.0108,1.17691,0.65935,0.73666,0.75047,0.56377,1.01122,1.45752,1.16646,0.00121287,0.00121287,0.00121287
5,77.5331,0.96794,0.99523,1.16186,0.86385,0.87761,0.91369,0.68976,0.9813,1.09921,1.08702,0.0012005,0.0012005,0.0012005
6,92.4358,0.9352,0.9124,1.13442,0.80788,0.82468,0.90105,0.68738,0.94337,0.99948,1.06427,0.00118812,0.00118812,0.00118812
7,107.274,0.92724,0.88417,1.10816,0.68297,0.73471,0.81162,0.59119,1.09408,1.46449,1.19286,0.00117575,0.00117575,0.00117575
8,122.211,0.90309,0.86122,1.1113,0.81536,0.88071,0.91657,0.68557,0.91639,0.88841,1.03486,0.00116337,0.00116337,0.00116337
9,137.027,0.85772,0.79977,1.09197,0.73068,0.88682,0.89502,0.69958,0.88577,1.00033,1.01954,0.001151,0.001151,0.001151
10,152.069,0.82985,0.79566,1.08014,0.87097,0.88679,0.93677,0.72842,0.75287,0.7293,0.92434,0.00113863,0.00113863,0.00113863
11,166.931,0.81384,0.77355,1.07078,0.89174,0.91544,0.94311,0.75986,0.79515,0.75525,0.92903,0.00112625,0.00112625,0.00112625
12,181.878,0.80537,0.76465,1.07583,0.90348,0.91093,0.94735,0.76671,0.77868,0.75229,0.95613,0.00111388,0.00111388,0.00111388
13,196.878,0.79929,0.74961,1.07,0.69138,0.79403,0.85651,0.65253,0.8919,0.95816,1.04676,0.0011015,0.0011015,0.0011015
14,211.773,0.78981,0.73704,1.05677,0.8796,0.89854,0.92265,0.77699,0.71411,0.73519,0.93388,0.00108913,0.00108913,0.00108913
15,226.618,0.77213,0.72581,1.05515,0.92141,0.8828,0.95185,0.80525,0.72789,0.71407,0.91303,0.00107675,0.00107675,0.00107675
16,241.552,0.75676,0.70821,1.04379,0.90244,0.9217,0.95022,0.79759,0.68044,0.59383,0.92563,0.00106437,0.00106437,0.00106437
17,255.95,0.74827,0.70164,1.03736,0.9,0.95315,0.9644,0.82791,0.68557,0.61912,0.87945,0.001052,0.001052,0.001052
18,270.656,0.74029,0.65728,1.04435,0.90145,0.9363,0.96757,0.8136,0.6578,0.59077,0.8838,0.00103962,0.00103962,0.00103962
19,285.2,0.73142,0.68871,1.0303,0.92702,0.95057,0.96943,0.82049,0.72088,0.57151,0.89854,0.00102725,0.00102725,0.00102725
20,299.825,0.74343,0.69142,1.03119,0.87914,0.8087,0.92744,0.74005,0.7243,0.77837,0.92241,0.00101488,0.00101488,0.00101488
21,314.17,0.69998,0.65438,1.01314,0.89973,0.95907,0.95926,0.80575,0.70273,0.66528,0.89084,0.0010025,0.0010025,0.0010025
22,328.782,0.71143,0.65398,1.02622,0.9127,0.94469,0.96351,0.80753,0.68731,0.58171,0.87429,0.000990125,0.000990125,0.000990125
23,343.033,0.70221,0.64135,1.0121,0.92472,0.93469,0.96044,0.8259,0.64391,0.54771,0.88589,0.00097775,0.00097775,0.00097775
24,357.753,0.69488,0.64988,1.02563,0.90343,0.94096,0.95968,0.82004,0.65969,0.58689,0.87279,0.000965375,0.000965375,0.000965375
25,372.577,0.69898,0.63391,1.01168,0.92378,0.94215,0.96743,0.82934,0.64578,0.56703,0.87311,0.000953,0.000953,0.000953
26,387.453,0.67561,0.62312,1.00666,0.90369,0.95397,0.96399,0.84553,0.64735,0.57729,0.85614,0.000940625,0.000940625,0.000940625
27,402.378,0.69723,0.62724,1.0139,0.9185,0.96469,0.96691,0.82775,0.64544,0.56474,0.86908,0.00092825,0.00092825,0.00092825
28,417.177,0.69234,0.62603,1.01427,0.89563,0.95785,0.96468,0.83157,0.62718,0.5375,0.84429,0.000915875,0.000915875,0.000915875
29,432.028,0.65833,0.58655,1.00083,0.93226,0.95761,0.97837,0.85041,0.60423,0.48901,0.84949,0.0009035,0.0009035,0.0009035
30,446.644,0.6535,0.58753,0.99246,0.91667,0.94267,0.9731,0.84405,0.6087,0.4877,0.87329,0.000891125,0.000891125,0.000891125
31,461.054,0.64342,0.59293,1.00408,0.93884,0.96584,0.98028,0.84601,0.59001,0.49045,0.85633,0.00087875,0.00087875,0.00087875
32,475.506,0.64494,0.58017,0.99566,0.92343,0.95395,0.97295,0.85084,0.6049,0.49033,0.85596,0.000866375,0.000866375,0.000866375
33,490.005,0.61006,0.55347,0.9829,0.92563,0.95537,0.97084,0.83799,0.59862,0.51127,0.8552,0.000854,0.000854,0.000854
34,504.449,0.63455,0.56664,0.98605,0.93215,0.96545,0.97278,0.84182,0.58015,0.48788,0.84484,0.000841625,0.000841625,0.000841625
35,518.778,0.61877,0.54971,0.98947,0.91284,0.93203,0.96539,0.82548,0.60459,0.51984,0.8587,0.00082925,0.00082925,0.00082925
36,533.396,0.61896,0.54243,0.98942,0.92976,0.95383,0.97546,0.86007,0.5724,0.47735,0.82953,0.000816875,0.000816875,0.000816875
37,547.755,0.6164,0.54241,0.98181,0.91809,0.95785,0.97484,0.87195,0.56642,0.47992,0.83236,0.0008045,0.0008045,0.0008045
38,562.337,0.59908,0.53157,0.9733,0.94198,0.94839,0.97586,0.84883,0.58399,0.4837,0.85172,0.000792125,0.000792125,0.000792125
39,576.732,0.5959,0.53091,0.97701,0.9296,0.97345,0.97707,0.85771,0.55292,0.47291,0.82475,0.00077975,0.00077975,0.00077975
40,591.364,0.61155,0.55288,0.98067,0.93725,0.95396,0.97262,0.85766,0.59207,0.46653,0.83939,0.000767375,0.000767375,0.000767375
41,606.063,0.60404,0.52762,0.97771,0.92525,0.95724,0.96533,0.83791,0.59457,0.48868,0.8419,0.000755,0.000755,0.000755
42,620.749,0.59069,0.52026,0.96603,0.93449,0.97697,0.97686,0.85332,0.59203,0.4768,0.83219,0.000742625,0.000742625,0.000742625
43,635.245,0.59029,0.52154,0.97831,0.92383,0.96749,0.97168,0.8558,0.58019,0.51776,0.83359,0.00073025,0.00073025,0.00073025
44,649.874,0.5971,0.52169,0.96751,0.93521,0.95345,0.96993,0.85656,0.55739,0.47898,0.8287,0.000717875,0.000717875,0.000717875
45,664.474,0.59719,0.53917,0.97991,0.94334,0.96395,0.96994,0.85864,0.56853,0.50837,0.84331,0.0007055,0.0007055,0.0007055
46,678.874,0.59428,0.51268,0.97837,0.95335,0.9633,0.98072,0.86366,0.55282,0.47539,0.81066,0.000693125,0.000693125,0.000693125
47,693.394,0.57411,0.48843,0.95749,0.9515,0.97652,0.98288,0.87313,0.52687,0.40704,0.80206,0.00068075,0.00068075,0.00068075
48,708.133,0.54977,0.49574,0.9649,0.95086,0.96364,0.97165,0.85314,0.55105,0.46115,0.80816,0.000668375,0.000668375,0.000668375
49,722.741,0.56083,0.488,0.96623,0.94372,0.97064,0.98188,0.87868,0.51654,0.42576,0.8077,0.000656,0.000656,0.000656
50,737.308,0.54904,0.47007,0.95599,0.94199,0.9674,0.97706,0.87646,0.51616,0.42915,0.80399,0.000643625,0.000643625,0.000643625
51,751.997,0.56355,0.50487,0.96188,0.94699,0.95724,0.97738,0.86479,0.56841,0.46006,0.84719,0.00063125,0.00063125,0.00063125
52,766.942,0.55349,0.49073,0.96811,0.93108,0.95395,0.96997,0.86945,0.5233,0.46191,0.82922,0.000618875,0.000618875,0.000618875
53,781.537,0.56091,0.48755,0.9549,0.92674,0.97877,0.98016,0.87132,0.52454,0.41507,0.82724,0.0006065,0.0006065,0.0006065
54,796.216,0.55172,0.47341,0.95047,0.97112,0.95289,0.98392,0.87593,0.54871,0.42283,0.81393,0.000594125,0.000594125,0.000594125
55,810.845,0.5463,0.46084,0.94568,0.97693,0.94138,0.98574,0.88618,0.52804,0.38332,0.82263,0.00058175,0.00058175,0.00058175
56,825.674,0.54567,0.48106,0.95391,0.96024,0.95498,0.9805,0.87272,0.49577,0.40815,0.80277,0.000569375,0.000569375,0.000569375
57,840.265,0.54602,0.47441,0.9526,0.92856,0.97368,0.98149,0.87308,0.51709,0.40599,0.80762,0.000557,0.000557,0.000557
58,854.96,0.53918,0.45723,0.95395,0.93615,0.96435,0.97696,0.88263,0.48842,0.41747,0.79816,0.000544625,0.000544625,0.000544625
59,869.593,0.5259,0.45927,0.94193,0.94933,0.9631,0.97879,0.87886,0.5137,0.43185,0.80014,0.00053225,0.00053225,0.00053225
60,884.142,0.52324,0.45483,0.94765,0.95848,0.96039,0.98353,0.88635,0.51953,0.38085,0.82348,0.000519875,0.000519875,0.000519875
61,898.696,0.51965,0.45101,0.94308,0.95702,0.9671,0.98763,0.88179,0.50342,0.38006,0.79763,0.0005075,0.0005075,0.0005075
62,913.348,0.51884,0.46205,0.93891,0.95889,0.96201,0.98326,0.8736,0.50962,0.40968,0.79394,0.000495125,0.000495125,0.000495125
63,928.071,0.53411,0.45576,0.95216,0.95362,0.9634,0.98417,0.88425,0.50013,0.40355,0.77949,0.00048275,0.00048275,0.00048275
64,942.553,0.51804,0.4484,0.93949,0.91774,0.97623,0.98525,0.88327,0.50777,0.39207,0.78798,0.000470375,0.000470375,0.000470375
65,956.939,0.49088,0.41555,0.92429,0.92471,0.97526,0.98115,0.88806,0.49562,0.39687,0.79227,0.000458,0.000458,0.000458
66,971.99,0.51359,0.4324,0.94239,0.95274,0.97687,0.98339,0.88592,0.51439,0.37207,0.77961,0.000445625,0.000445625,0.000445625
